benchmark,solver,"wallclock time",result,exprs-total-size
General-Track/array_search_10.sl,EUSolver,14.9646,correct,51
General-Track/array_search_11.sl,EUSolver,20.107,correct,56
General-Track/array_search_12.sl,EUSolver,23.6746,correct,61
General-Track/array_search_13.sl,EUSolver,32.9254,correct,66
General-Track/array_search_14.sl,EUSolver,40.5905,correct,71
General-Track/array_search_15.sl,EUSolver,61.9073,correct,76
General-Track/array_search_2.sl,EUSolver,0.887698,correct,11
General-Track/array_search_3.sl,EUSolver,1.26885,correct,16
General-Track/array_search_4.sl,EUSolver,1.81306,correct,21
General-Track/array_search_5.sl,EUSolver,2.46398,correct,26
General-Track/array_search_6.sl,EUSolver,3.07886,correct,31
General-Track/array_search_7.sl,EUSolver,4.6254,correct,36
General-Track/array_search_8.sl,EUSolver,7.82694,correct,41
General-Track/array_search_9.sl,EUSolver,10.7026,correct,46
General-Track/array_sum_10_15.sl,EUSolver,3600.1,unsolved,0
General-Track/array_sum_10_5.sl,EUSolver,3600.11,unsolved,0
General-Track/array_sum_2_15.sl,EUSolver,0.612056,correct,38
General-Track/array_sum_2_5.sl,EUSolver,0.607526,correct,18
General-Track/array_sum_3_15.sl,EUSolver,0.673365,correct,223
General-Track/array_sum_3_5.sl,EUSolver,0.678151,correct,103
General-Track/array_sum_4_15.sl,EUSolver,0.912028,correct,6978
General-Track/array_sum_4_5.sl,EUSolver,0.791062,correct,1518
General-Track/array_sum_5_15.sl,EUSolver,54.5778,correct,6284205
General-Track/array_sum_6_15.sl,EUSolver,3600.1,unsolved,0
General-Track/array_sum_6_5.sl,EUSolver,3600.03,unsolved,0
General-Track/array_sum_7_15.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_7_5.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_8_15.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_8_5.sl,EUSolver,3600.11,unsolved,0
General-Track/array_sum_9_15.sl,EUSolver,3600.05,unsolved,0
General-Track/array_sum_9_5.sl,EUSolver,3600.02,unsolved,0
General-Track/commutative.sl,EUSolver,0.91491,correct,3
General-Track/constant.sl,EUSolver,0.684023,correct,1
General-Track/eightfuncs.sl,EUSolver,3600.03,unsolved,0
General-Track/fivefuncs-copy.sl,EUSolver,3600.1,unsolved,0
General-Track/fivefuncs.sl,EUSolver,3600.06,unsolved,0
General-Track/General_plus10.sl,EUSolver,0.582997,smt_issues,2
General-Track/hd-01-d1-prog.sl,EUSolver,0.603414,correct,5
General-Track/hd-01-d5-prog.sl,EUSolver,14.5422,correct,5
General-Track/hd-02-d0-prog.sl,EUSolver,0.575775,correct,5
General-Track/hd-02-d1-prog.sl,EUSolver,0.613016,correct,5
General-Track/hd-02-d5-prog.sl,EUSolver,13.9517,correct,5
General-Track/hd-03-d0-prog.sl,EUSolver,0.566718,correct,4
General-Track/hd-03-d1-prog.sl,EUSolver,0.600409,correct,4
General-Track/hd-03-d5-prog.sl,EUSolver,6.49461,correct,4
General-Track/hd-04-d0-prog.sl,EUSolver,0.578417,correct,5
General-Track/hd-04-d1-prog.sl,EUSolver,0.636365,correct,5
General-Track/hd-04-d5-prog.sl,EUSolver,9.82404,correct,5
General-Track/hd-05-d0-prog.sl,EUSolver,0.585476,correct,5
General-Track/hd-05-d1-prog.sl,EUSolver,0.647502,correct,5
General-Track/hd-05-d5-prog.sl,EUSolver,28.4548,correct,5
General-Track/hd-06-d0-prog.sl,EUSolver,0.590289,correct,5
General-Track/hd-06-d1-prog.sl,EUSolver,0.72816,correct,5
General-Track/hd-06-d5-prog.sl,EUSolver,30.8437,correct,5
General-Track/hd-07-d0-prog.sl,EUSolver,0.601196,correct,6
General-Track/hd-07-d1-prog.sl,EUSolver,0.84539,correct,6
General-Track/hd-07-d5-prog.sl,EUSolver,64.8681,correct,6
General-Track/hd-08-d0-prog.sl,EUSolver,0.617119,correct,6
General-Track/hd-08-d1-prog.sl,EUSolver,0.693301,correct,5
General-Track/hd-08-d5-prog.sl,EUSolver,24.8395,correct,5
General-Track/hd-09-d0-prog.sl,EUSolver,0.872582,correct,9
General-Track/hd-09-d1-prog.sl,EUSolver,81.566,correct,9
General-Track/hd-09-d5-prog.sl,EUSolver,454.258,correct,7
General-Track/hd-13-d0-prog.sl,EUSolver,1.63793,correct,8
General-Track/hd-13-d1-prog.sl,EUSolver,180.393,correct,8
General-Track/hd-13-d5-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-14-d0-prog.sl,EUSolver,18.4411,correct,9
General-Track/hd-14-d1-prog.sl,EUSolver,3600.11,unsolved,0
General-Track/hd-14-d5-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-15-d0-prog.sl,EUSolver,20.7453,correct,9
General-Track/hd-15-d1-prog.sl,EUSolver,3037.3,correct,9
General-Track/hd-15-d5-prog.sl,EUSolver,3600.11,unsolved,0
General-Track/hd-17-d0-prog.sl,EUSolver,0.953324,correct,9
General-Track/hd-17-d1-prog.sl,EUSolver,2.25799,correct,8
General-Track/hd-17-d5-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-19-d0-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-19-d1-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-19-d5-prog.sl,EUSolver,3600.12,unsolved,0
General-Track/hd-20-d0-prog.sl,EUSolver,3600.02,unsolved,0
General-Track/hd-20-d1-prog.sl,EUSolver,3600.03,unsolved,0
General-Track/hd-20-d5-prog.sl,EUSolver,3600.03,unsolved,0
General-Track/icfp_103_10.sl,EUSolver,3.42591,correct,39
General-Track/icfp_104_10.sl,EUSolver,0.814765,correct,15
General-Track/icfp_105_100.sl,EUSolver,1.07654,correct,13
General-Track/icfp_105_1000.sl,EUSolver,3.64631,correct,13
General-Track/icfp_113_1000.sl,EUSolver,3.06017,correct,10
General-Track/icfp_114_100.sl,EUSolver,2.48186,correct,18
General-Track/icfp_118_10.sl,EUSolver,1.91002,correct,30
General-Track/icfp_118_100.sl,EUSolver,4.05539,correct,33
General-Track/icfp_125_10.sl,EUSolver,3.78018,correct,18
General-Track/icfp_134_1000.sl,EUSolver,10.2623,correct,32
General-Track/icfp_135_100.sl,EUSolver,1.12289,correct,12
General-Track/icfp_139_10.sl,EUSolver,0.626415,correct,9
General-Track/icfp_143_1000.sl,EUSolver,3.92706,correct,15
General-Track/icfp_144_100.sl,EUSolver,10.3617,correct,31
General-Track/icfp_144_1000.sl,EUSolver,16.5605,correct,31
General-Track/icfp_147_1000.sl,EUSolver,3.10167,correct,11
General-Track/icfp_14_1000.sl,EUSolver,11.0041,correct,36
General-Track/icfp_150_10.sl,EUSolver,0.994967,correct,37
General-Track/icfp_21_1000.sl,EUSolver,3.84164,correct,18
General-Track/MPwL_d4s7.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwL_d5s3.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwL_d5s7.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwoL_d1s3.sl,EUSolver,3600.11,unsolved,0
General-Track/MPwoL_d1s7.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwoL_d4s3.sl,EUSolver,3600.11,unsolved,0
General-Track/MPwoL_d4s7.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwoL_d5s3.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwoL_d5s7.sl,EUSolver,3600.03,unsolved,0
General-Track/ninefuncs.sl,EUSolver,3600.08,unsolved,0
General-Track/parity-AIG-d0.sl,EUSolver,0.616596,unsolved,0
General-Track/parity-AIG-d1.sl,EUSolver,0.594199,unsolved,0
General-Track/parity-NAND-d0.sl,EUSolver,0.62083,unsolved,0
General-Track/parity-NAND-d1.sl,EUSolver,0.605936,unsolved,0
General-Track/parity.sl,EUSolver,0.602707,unsolved,-
General-Track/polynomial.sl,EUSolver,0.559977,correct,2
General-Track/polynomial1.sl,EUSolver,0.560155,correct,2
General-Track/polynomial2.sl,EUSolver,0.602179,correct,4
General-Track/polynomial3.sl,EUSolver,0.592457,correct,4
General-Track/polynomial4.sl,EUSolver,1.73218,correct,8
General-Track/qm_area_sel_2.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_choose_01.sl,EUSolver,0.81984,correct,7
General-Track/qm_choose_yz.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_in_range.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_loop_1.sl,EUSolver,0.602863,correct,5
General-Track/qm_loop_2.sl,EUSolver,28.2487,correct,9
General-Track/qm_loop_3.sl,EUSolver,971.458,correct,11
General-Track/qm_max2.sl,EUSolver,1.57853,correct,7
General-Track/qm_max3.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_max4.sl,EUSolver,3600.11,unsolved,0
General-Track/qm_max5.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_neg_1.sl,EUSolver,0.688702,correct,7
General-Track/qm_neg_2.sl,EUSolver,155.868,correct,11
General-Track/qm_neg_3.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_neg_4.sl,EUSolver,3600.02,unsolved,0
General-Track/qm_neg_5.sl,EUSolver,3600.03,unsolved,0
General-Track/qm_neg_eq_1.sl,EUSolver,0.743096,correct,7
General-Track/qm_neg_eq_2.sl,EUSolver,1214.56,correct,11
General-Track/qm_neg_eq_3.sl,EUSolver,3600.03,unsolved,0
General-Track/qm_neg_eq_4.sl,EUSolver,3600.08,unsolved,0
General-Track/qm_neg_eq_5.sl,EUSolver,3600.02,unsolved,0
General-Track/s0.sl,EUSolver,11.3884,correct,54
General-Track/s0_d0.sl,EUSolver,619.128,correct,80
General-Track/s0_d1.sl,EUSolver,635.659,correct,81
General-Track/s0_d2.sl,EUSolver,606.518,correct,127
General-Track/s1.sl,EUSolver,11.5373,correct,55
General-Track/s10.sl,EUSolver,6.06437,correct,7
General-Track/s11.sl,EUSolver,3600.04,unsolved,0
General-Track/s12.sl,EUSolver,3600.05,unsolved,0
General-Track/s2.sl,EUSolver,0.60221,correct,1
General-Track/s3.sl,EUSolver,0.606087,correct,1
General-Track/s4.sl,EUSolver,0.583994,correct,3
General-Track/s5.sl,EUSolver,4.86811,correct,9
General-Track/s6.sl,EUSolver,3600.04,unsolved,0
General-Track/s7.sl,EUSolver,19.3459,correct,9
General-Track/s8.sl,EUSolver,3600.06,unsolved,0
General-Track/s9.sl,EUSolver,3.1625,correct,7
General-Track/sevenfuncs.sl,EUSolver,3600.05,unsolved,0
General-Track/seven_c1.sl,EUSolver,3.83624,correct,5
General-Track/seven_c2.sl,EUSolver,638.404,syntax_errors,-
General-Track/seven_c3.sl,EUSolver,5.60644,correct,5
General-Track/seven_c4.sl,EUSolver,5.85664,correct,5
General-Track/seven_three_d0.sl,EUSolver,3600.04,unsolved,0
General-Track/seven_three_d1.sl,EUSolver,3600.05,unsolved,0
General-Track/sixfuncs.sl,EUSolver,3600.04,unsolved,0
General-Track/tenfunc1.sl,EUSolver,3600.03,unsolved,0
General-Track/tenfunc2.sl,EUSolver,3600.02,unsolved,0
General-Track/three.sl,EUSolver,0.64169,correct,5
General-Track/three_d0.sl,EUSolver,3.77932,correct,5
General-Track/three_d1.sl,EUSolver,3600.02,unsolved,0
General-Track/three_d2.sl,EUSolver,3600.02,unsolved,0
General-Track/three_d3.sl,EUSolver,3600.02,unsolved,0
General-Track/twolets1.sl,EUSolver,0.674874,correct,16
General-Track/twolets10.sl,EUSolver,3600.02,unsolved,0
General-Track/twolets3.sl,EUSolver,2.32165,correct,22
General-Track/twolets4.sl,EUSolver,154.54,correct,28
General-Track/twolets5.sl,EUSolver,3600.05,unsolved,0
General-Track/twolets6.sl,EUSolver,3600.05,unsolved,0
General-Track/twolets7.sl,EUSolver,3600.03,unsolved,0
General-Track/twolets8.sl,EUSolver,3600.06,unsolved,0
General-Track/twolets9.sl,EUSolver,3600.04,unsolved,0
General-Track/unbdd_inv_gen_array.sl,EUSolver,46.3616,correct,19
General-Track/unbdd_inv_gen_cegar2.sl,EUSolver,3600.05,unsolved,0
General-Track/unbdd_inv_gen_cgr1.sl,EUSolver,2.22347,correct,21
General-Track/unbdd_inv_gen_ex14.sl,EUSolver,0.938328,correct,21
General-Track/unbdd_inv_gen_ex23.sl,EUSolver,3600.04,unsolved,0
General-Track/unbdd_inv_gen_ex7.sl,EUSolver,1.33131,correct,19
General-Track/unbdd_inv_gen_fig1.sl,EUSolver,19.7252,correct,23
General-Track/unbdd_inv_gen_fig3.sl,EUSolver,42.4605,correct,19
General-Track/unbdd_inv_gen_fig6.sl,EUSolver,0.639952,correct,19
General-Track/unbdd_inv_gen_fig8.sl,EUSolver,0.912434,correct,19
General-Track/unbdd_inv_gen_fig9.sl,EUSolver,1.32704,correct,19
General-Track/unbdd_inv_gen_finf1.sl,EUSolver,0.735161,correct,19
General-Track/unbdd_inv_gen_finf2.sl,EUSolver,0.735534,correct,19
General-Track/unbdd_inv_gen_n_c11.sl,EUSolver,3.5434,correct,19
General-Track/unbdd_inv_gen_sum1.sl,EUSolver,3600.09,unsolved,0
General-Track/unbdd_inv_gen_sum3.sl,EUSolver,1.08032,correct,19
General-Track/unbdd_inv_gen_sum4.sl,EUSolver,1263.81,correct,19
General-Track/unbdd_inv_gen_tcs.sl,EUSolver,3600.05,unsolved,0
General-Track/unbdd_inv_gen_term2.sl,EUSolver,0.672414,correct,19
General-Track/unbdd_inv_gen_term3.sl,EUSolver,0.657825,correct,19
General-Track/unbdd_inv_gen_trex1.sl,EUSolver,1.00239,correct,21
General-Track/unbdd_inv_gen_trex2.sl,EUSolver,0.651357,correct,19
General-Track/unbdd_inv_gen_trex4.sl,EUSolver,0.665638,correct,19
General-Track/unbdd_inv_gen_vmail.sl,EUSolver,0.682122,correct,19
General-Track/unbdd_inv_gen_w1.sl,EUSolver,0.71568,correct,19
General-Track/unbdd_inv_gen_w2.sl,EUSolver,5.3241,correct,21
General-Track/unbdd_inv_gen_winf1.sl,EUSolver,3600.05,unsolved,0
General-Track/unbdd_inv_gen_winf2.sl,EUSolver,0.672599,correct,19
General-Track/icfp_25_1000.sl,EUSolver,7.24174,correct,28
General-Track/icfp_28_10.sl,EUSolver,0.592033,correct,2
General-Track/icfp_30_10.sl,EUSolver,1.07865,correct,13
General-Track/icfp_32_10.sl,EUSolver,0.728759,correct,13
General-Track/icfp_38_10.sl,EUSolver,0.891183,correct,17
General-Track/icfp_39_100.sl,EUSolver,0.996198,correct,11
General-Track/icfp_45_10.sl,EUSolver,0.612373,correct,8
General-Track/icfp_45_1000.sl,EUSolver,2.97664,correct,8
General-Track/icfp_51_10.sl,EUSolver,0.650699,correct,10
General-Track/icfp_54_1000.sl,EUSolver,3.08748,correct,10
General-Track/icfp_56_1000.sl,EUSolver,18.8533,correct,65
General-Track/icfp_5_1000.sl,EUSolver,3.55151,correct,16
General-Track/icfp_64_10.sl,EUSolver,0.951612,correct,19
General-Track/icfp_68_1000.sl,EUSolver,19.6128,correct,58
General-Track/icfp_69_10.sl,EUSolver,0.723022,correct,10
General-Track/icfp_72_10.sl,EUSolver,0.893716,correct,12
General-Track/icfp_73_10.sl,EUSolver,0.697331,correct,16
General-Track/icfp_7_10.sl,EUSolver,0.789784,correct,15
General-Track/icfp_7_1000.sl,EUSolver,10.5482,correct,23
General-Track/icfp_81_1000.sl,EUSolver,4.05744,correct,22
General-Track/icfp_82_10.sl,EUSolver,3.12918,correct,16
General-Track/icfp_82_100.sl,EUSolver,2.58241,correct,16
General-Track/icfp_87_10.sl,EUSolver,0.864506,correct,17
General-Track/icfp_93_1000.sl,EUSolver,3.80068,correct,19
General-Track/icfp_94_100.sl,EUSolver,1.12052,correct,16
General-Track/icfp_94_1000.sl,EUSolver,3.33404,correct,16
General-Track/icfp_95_100.sl,EUSolver,195.085,correct,21
General-Track/icfp_96_10.sl,EUSolver,3.94477,correct,48
General-Track/icfp_96_1000.sl,EUSolver,18.6007,correct,43
General-Track/icfp_99_100.sl,EUSolver,1.39268,correct,17
General-Track/icfp_9_1000.sl,EUSolver,10.4636,correct,14
General-Track/inv_gen_array.sl,EUSolver,2229.59,correct,19
General-Track/inv_gen_cegar2.sl,EUSolver,3600.07,unsolved,0
General-Track/inv_gen_cgr1.sl,EUSolver,2.94625,correct,19
General-Track/inv_gen_ex14.sl,EUSolver,0.69613,correct,19
General-Track/inv_gen_ex23.sl,EUSolver,3600.02,unsolved,0
General-Track/inv_gen_ex7.sl,EUSolver,1.30164,correct,19
General-Track/inv_gen_fig1.sl,EUSolver,17.9457,correct,19
General-Track/inv_gen_fig3.sl,EUSolver,8.03801,correct,19
General-Track/inv_gen_fig6.sl,EUSolver,0.666506,correct,19
General-Track/inv_gen_fig8.sl,EUSolver,1.0843,correct,19
General-Track/inv_gen_fig9.sl,EUSolver,2.66623,correct,19
General-Track/inv_gen_finf1.sl,EUSolver,1.78519,correct,19
General-Track/inv_gen_finf2.sl,EUSolver,1.73514,correct,19
General-Track/inv_gen_n_c11.sl,EUSolver,3.12232,correct,19
General-Track/inv_gen_sum1.sl,EUSolver,3600.05,unsolved,0
General-Track/inv_gen_sum3.sl,EUSolver,2.66331,correct,19
General-Track/inv_gen_sum4.sl,EUSolver,1660.1,correct,19
General-Track/inv_gen_tcs.sl,EUSolver,3600.09,unsolved,0
General-Track/inv_gen_term2.sl,EUSolver,0.700842,correct,19
General-Track/inv_gen_term3.sl,EUSolver,0.695412,correct,19
General-Track/inv_gen_trex1.sl,EUSolver,0.684135,correct,19
General-Track/inv_gen_trex2.sl,EUSolver,0.671619,correct,19
General-Track/inv_gen_trex4.sl,EUSolver,0.837891,unsolved,0
General-Track/inv_gen_vmail.sl,EUSolver,0.733403,correct,19
General-Track/inv_gen_w1.sl,EUSolver,0.871616,correct,19
General-Track/inv_gen_w2.sl,EUSolver,0.862578,correct,19
General-Track/inv_gen_winf1.sl,EUSolver,3600.05,unsolved,0
General-Track/inv_gen_winf2.sl,EUSolver,0.728218,correct,19
General-Track/LinExpr_eq1ex.sl,EUSolver,143.532,correct,73
General-Track/LinExpr_eq2ex.sl,EUSolver,3600.02,unsolved,0
General-Track/LinExpr_inv1.sl,EUSolver,22.2742,correct,10
General-Track/LinExpr_inv1_ex.sl,EUSolver,2.83506,correct,19
General-Track/logcount-d1.sl,EUSolver,3600.05,unsolved,0
General-Track/logcount-d5.sl,EUSolver,3600.06,unsolved,0
General-Track/logcount.sl,EUSolver,3600.02,unsolved,0
General-Track/logcount2-d1.sl,EUSolver,3600.02,unsolved,0
General-Track/logcount2-d5.sl,EUSolver,3600.04,unsolved,0
General-Track/logcount2.sl,EUSolver,3600.05,unsolved,0
General-Track/max10.sl,EUSolver,4.05364,correct,334
General-Track/max12.sl,EUSolver,14.0857,correct,496
General-Track/max13.sl,EUSolver,12.4696,correct,589
General-Track/max14.sl,EUSolver,27.4479,correct,690
General-Track/max15.sl,EUSolver,17.6645,correct,690
General-Track/max2.sl,EUSolver,0.644023,correct,6
General-Track/max3.sl,EUSolver,0.740155,correct,19
General-Track/max4.sl,EUSolver,0.924213,correct,40
General-Track/max5.sl,EUSolver,0.87659,correct,69
General-Track/max6.sl,EUSolver,2.14928,correct,106
General-Track/max7.sl,EUSolver,2.5647,correct,151
General-Track/max8.sl,EUSolver,1.75578,correct,204
General-Track/max9.sl,EUSolver,2.98464,correct,265
General-Track/max_11.sl,EUSolver,9.71725,correct,411
General-Track/mpg_example1.sl,EUSolver,3600.1,unsolved,0
General-Track/mpg_example2.sl,EUSolver,3600.03,unsolved,0
General-Track/mpg_example3.sl,EUSolver,3600.04,unsolved,0
General-Track/mpg_example4.sl,EUSolver,3600.03,unsolved,0
General-Track/mpg_example5.sl,EUSolver,3600.05,unsolved,0
General-Track/mpg_guard1.sl,EUSolver,0.724733,correct,14
General-Track/mpg_guard2.sl,EUSolver,0.786512,wrong,30
General-Track/mpg_guard3.sl,EUSolver,0.785461,wrong,32
General-Track/mpg_guard4.sl,EUSolver,0.784499,wrong,34
General-Track/mpg_ite1.sl,EUSolver,0.857777,wrong,93
General-Track/mpg_ite2.sl,EUSolver,1.17773,wrong,207
General-Track/mpg_plane1.sl,EUSolver,1.10278,correct,3
General-Track/mpg_plane2.sl,EUSolver,0.679459,correct,17
General-Track/mpg_plane3.sl,EUSolver,0.678275,correct,29
General-Track/MPwL_d1s3.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwL_d1s7.sl,EUSolver,3600.02,unsolved,0
General-Track/MPwL_d4s3.sl,EUSolver,3600.03,unsolved,0
General-Track/array_search_10.sl,"Enumerative Solver",3600.02,unsolved,0
General-Track/array_search_11.sl,"Enumerative Solver",3600.05,unsolved,0
General-Track/array_search_12.sl,"Enumerative Solver",3600.04,unsolved,0
General-Track/array_search_13.sl,"Enumerative Solver",3600.08,unsolved,0
General-Track/array_search_14.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_search_15.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/array_search_2.sl,"Enumerative Solver",0.031095,correct,11
General-Track/array_search_3.sl,"Enumerative Solver",3.03828,correct,16
General-Track/array_search_4.sl,"Enumerative Solver",1829.75,correct,21
General-Track/array_search_5.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/array_search_6.sl,"Enumerative Solver",3600.04,unsolved,0
General-Track/array_search_7.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_search_8.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_search_9.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_sum_10_15.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_sum_10_5.sl,"Enumerative Solver",3600.02,unsolved,0
General-Track/array_sum_2_15.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/array_sum_2_5.sl,"Enumerative Solver",12.9041,correct,14
General-Track/array_sum_3_15.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/array_sum_3_5.sl,"Enumerative Solver",3600.1,unsolved,0
General-Track/array_sum_4_15.sl,"Enumerative Solver",3600.04,unsolved,0
General-Track/array_sum_4_5.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/array_sum_5_15.sl,"Enumerative Solver",3600.08,unsolved,0
General-Track/array_sum_6_15.sl,"Enumerative Solver",3600.02,unsolved,0
General-Track/array_sum_6_5.sl,"Enumerative Solver",3600.02,unsolved,0
General-Track/array_sum_7_15.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/array_sum_7_5.sl,"Enumerative Solver",3600.04,unsolved,0
General-Track/array_sum_8_15.sl,"Enumerative Solver",3600.12,unsolved,0
General-Track/array_sum_8_5.sl,"Enumerative Solver",3600.08,unsolved,0
General-Track/array_sum_9_15.sl,"Enumerative Solver",3600.11,unsolved,0
General-Track/array_sum_9_5.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/commutative.sl,"Enumerative Solver",0.0126501,correct,3
General-Track/constant.sl,"Enumerative Solver",0.0123529,correct,1
General-Track/eightfuncs.sl,"Enumerative Solver",3600.03,unsolved,0
General-Track/fivefuncs-copy.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/fivefuncs.sl,"Enumerative Solver",3600.07,unsolved,0
General-Track/General_plus10.sl,"Enumerative Solver",0.016205,unsolved,-
General-Track/hd-01-d1-prog.sl,"Enumerative Solver",0.0179051,correct,5
General-Track/hd-01-d5-prog.sl,"Enumerative Solver",0.037379,correct,5
General-Track/hd-02-d0-prog.sl,"Enumerative Solver",0.0151411,correct,5
General-Track/hd-02-d1-prog.sl,"Enumerative Solver",0.018323,correct,5
